date,time,corrected_area,calculated_area
24-11-1986,02:48:00,0.013,0.018335594
28-11-1986,02:01:00,0.006,0.015892835
31-12-1986,02:44:00,0.004,8.31E-05
02-01-1987,04:38:00,0.004,0.001136248
06-01-1987,02:29:00,0.005,0.000373833
08-01-1987,"02:18:00,03:35:00,04:03:00,06:09:00",0.004,0.006307997
18-01-1987,02:22:00,0.008,0.001930336
19-01-1987,03:50:00,0.007,0.000526786
20-01-1987,02:59:00,0.01,0.001729344
22-01-1987,"05:26:00,06:05:00",0.007,0.006750857
23-01-1987,03:35:00,0.008,0.00280667
24-01-1987,03:39:00,0.007,0.007552183
31-01-1987,02:46:00,0.005,0.000875404
02-02-1987,03:24:00,0.005,0.000515414
03-02-1987,03:20:00,0.005,0.001131651
06-02-1987,02:28:00,0.005,0.000686439
10-02-1987,02:40:00,0.005,0.000212218
12-02-1987,02:27:00,0.004,6.91E-05
13-02-1987,02:30:00,0.006,0.000140048
15-02-1987,02:26:00,0.008,0.000760385
16-02-1987,02:42:00,0.012,0.001348852
17-02-1987,02:26:00,0.008,6.87E-05
20-02-1987,02:24:00,0.007,0.000116511
21-02-1987,03:21:00,0.006,0.002469731
26-02-1987,02:27:00,0.006,0.005425281
27-02-1987,02:13:00,0.014,0.004879098
01-03-1987,"02:03:00,02:17:00",0.008,0.002820243
02-03-1987,"03:10:00,03:19:00",0.007,0.005114223
03-03-1987,02:18:00,0.009,0.003374737
04-03-1987,02:25:00,0.008,0.003125623
06-03-1987,02:17:00,0.008,0.003822782
27-03-1987,02:15:00,0.007,0.001648644
28-03-1987,02:25:00,0.007,0.000782945
29-03-1987,02:18:00,0.006,0.002587981
30-03-1987,02:04:00,0.007,0.001359307
31-03-1987,02:35:00,0.006,0.00200901
01-04-1987,02:08:00,0.006,0.00135094
03-04-1987,02:44:00,0.005,0.00614068
04-04-1987,03:17:00,0.006,0.006249417
05-04-1987,02:07:00,0.006,0.001312968
07-04-1987,02:34:00,0.008,0.002063565
08-04-1987,03:00:00,0.013,0.005650123
14-04-1987,02:49:00,0.017,0.014064532
15-04-1987,09:01:00,0.017,0.00990721
16-04-1987,02:04:00,0.017,0.007934031
17-04-1987,02:13:00,0.017,0.009575575
20-04-1987,03:41:00,0.006,0.001583345
22-04-1987,02:11:00,0.009,0.002330216
23-04-1987,04:56:00,0.008,0.0027381
26-04-1987,02:17:00,0.006,0.00168767
28-04-1987,04:42:00,0.007,0.001858288
30-04-1987,03:23:00,0.007,0.002592674
08-05-1987,02:14:00,0.014,0.004678762
09-05-1987,01:59:00,0.014,0.00468856
10-05-1987,02:20:00,0.009,0.006709121
11-05-1987,02:11:00,0.015,0.006481058
12-05-1987,02:26:00,0.014,0.008796902
14-05-1987,02:18:00,0.015,0.00729641
17-05-1987,02:07:00,0.013,0.009511718
22-05-1987,02:11:00,0.015,0.004088484
23-05-1987,03:41:00,0.013,0.005132725
26-05-1987,02:17:00,0.014,0.002542328
27-05-1987,02:28:00,0.01,0.006306051
28-05-1987,03:52:00,0.007,0.001673004
29-05-1987,02:46:00,0.008,0.001988182
31-05-1987,03:14:00,0.005,0.003154468
01-06-1987,03:20:00,0.006,0.002087524
03-06-1987,03:08:00,0.01,0.001350056
11-06-1987,03:20:00,0.009,0.000839012
24-06-1987,02:18:00,0.012,0.005820419
25-06-1987,02:38:00,0.01,0.004584615
29-06-1987,04:07:00,0.01,0.007178462
04-07-1987,04:20:00,0.008,0.006007329
17-07-1987,06:21:00,0.011,0.002192802
21-07-1987,04:40:00,0.015,0.006875918
23-07-1987,03:19:00,0.018,0.008201193
27-07-1987,04:24:00,0.019,0.009763086
28-07-1987,"02:14:00,03:18:00",0.014,0.0075806
30-07-1987,02:44:00,0.016,0.006580278
31-07-1987,"02:24:00,02:56:00,03:36:00,04:44:00",0.015,0.010892351
01-09-1987,02:14:00,0.009,0.003160291
02-09-1987,02:48:00,0.011,0.005346072
08-09-1987,02:16:00,0.009,0.017973409
09-09-1987,02:12:00,0.007,0.007539291
12-09-1987,02:17:00,0.013,0.012992469
13-09-1987,02:31:00,0.012,0.005491364
11-10-1987,02:33:00,0.015,0.011425222
18-10-1987,03:10:00,0.012,0.009240744
21-12-1987,02:21:00,0.018,0.009855972
30-12-1987,02:12:00,0.013,0.003722019
02-01-1988,02:36:00,0.013,0.003646947
05-01-1988,03:14:00,0.013,0.013604676
06-01-1988,02:29:00,0.021,0.013587608
07-01-1988,02:22:00,0.018,0.022536783
09-01-1988,04:29:00,0.016,0.024348147
11-01-1988,"02:24:00,03:01:00,03:15:00",0.016,0.020564163
12-01-1988,02:36:00,0.017,0.016736442
13-01-1988,"02:23:00,03:32:00",0.021,0.020166168
14-01-1988,"02:15:00,03:09:00",0.02,0.020346805
15-01-1988,02:31:00,0.022,0.023231696
16-01-1988,04:31:00,0.024,0.017714918
17-01-1988,03:58:00,0.022,0.025349881
18-01-1988,05:46:00,0.017,0.025221239
22-01-1988,02:13:00,0.017,0.013352228
27-01-1988,02:49:00,0.015,0.016585055
29-01-1988,05:22:00,0.016,0.018950566
30-01-1988,02:49:00,0.017,0.011704253
02-02-1988,02:21:00,0.021,0.013859244
04-02-1988,02:14:00,0.025,0.015205452
05-02-1988,05:06:00,0.025,0.027662832
06-02-1988,02:24:00,0.019,0.022672123
07-02-1988,02:18:00,0.016,0.023366695
08-02-1988,02:20:00,0.019,0.01972117
10-02-1988,03:10:00,0.023,0.01797345
11-02-1988,04:03:00,0.02,0.02636706
12-02-1988,02:23:00,0.017,0.010089054
13-02-1988,"02:30:00,03:14:00",0.017,0.011624691
14-02-1988,03:55:00,0.017,0.023890419
15-02-1988,02:36:00,0.02,0.011908294
16-02-1988,02:28:00,0.023,0.018294158
17-02-1988,02:15:00,0.016,0.009854125
19-02-1988,"03:07:00,02:17:00",0.022,0.016265047
20-02-1988,02:35:00,0.026,0.019469011
21-02-1988,"02:27:00,04:44:00",0.014,0.017419445
25-02-1988,"02:12:00,03:01:00",0.014,0.015103895
26-02-1988,"02:25:00,04:08:00",0.013,0.012709547
27-02-1988,02:36:00,0.013,0.007448225
02-03-1988,02:16:00,0.016,0.008897803
05-03-1988,02:36:00,0.019,0.011006211
06-03-1988,02:56:00,0.018,0.022030298
07-03-1988,02:56:00,0.018,0.017999751
08-03-1988,"02:46:00,02:46:00",0.018,0.013669619
09-03-1988,02:19:00,0.018,0.013674727
11-03-1988,02:42:00,0.014,0.011681856
12-03-1988,02:35:00,0.017,0.015560369
13-03-1988,02:17:00,0.02,0.010869785
18-03-1988,02:34:00,0.017,0.022355695
19-03-1988,03:19:00,0.016,0.013994107
22-03-1988,03:06:00,0.021,0.013199096
24-03-1988,02:32:00,0.019,0.014418377
25-03-1988,02:10:00,0.021,0.017437926
26-03-1988,02:28:00,0.019,0.022512316
28-03-1988,02:34:00,0.024,0.01547484
01-04-1988,05:42:00,0.026,0.028172678
03-04-1988,02:21:00,0.025,0.012793557
04-04-1988,02:25:00,0.028,0.01198592
14-04-1988,03:32:00,0.027,0.024436486
15-04-1988,02:32:00,0.027,0.017191078
